age,rq1,rq2,rq3,st_5
25,8,6,8,9
34,10,8,10,9
19,8,8,5,8
63,8,8,7,8
28,4,4,3,9
26,1,1,1,14
30,1,4,8,10
22,2,2,8,10
67,5,5,6,8
18,5,5,4,8
22,1,1,10,9
33,3,5,3,11
17,2,6,3,8
24,6,6,7,8
25,10,10,10,12
24,9,2,3,12
30,8,8,8,9
23,9,5,8,9
34,2,4,5,10
21,6,6,5,12
26,8,7,5,10
27,6,5,5,8
25,3,10,10,8
59,5,2,5,13
30,5,2,6,11
24,5,2,2,13
25,5,2,5,11
20,1,2,3,10
19,8,8,6,14
36,1,1,2,9
27,4,4,6,10
39,6,6,6,15
26,10,5,5,10
29,8,9,7,14
29,4,1,4,10
33,10,8,10,9
48,7,7,6,10
37,3,1,3,12
27,10,8,10,9
26,5,8,8,14
54,1,7,9,8
30,2,4,5,12
29,4,8,5,13
33,3,2,4,12
52,3,10,5,9
15,3,7,4,10
19,4,1,6,11
24,5,2,8,8
21,2,2,2,15
30,5,2,7,15
21,5,5,5,12
23,3,3,4,13
21,5,5,7,9
16,5,5,5,9
22,4,4,9,9
24,4,3,5,12
21,5,2,5,8
35,7,7,5,10
29,9,4,3,13
25,6,6,7,14
26,6,6,6,10
29,5,2,2,14
18,10,8,1,8
34,1,3,2,13
28,1,1,1,11
24,8,8,5,9
23,10,4,9,8
15,2,4,1,14
43,1,1,1,10
37,5,4,4,8
32,2,1,5,13
19,9,9,9,9
22,5,5,5,11
24,6,6,7,15
24,1,1,2,12
13,4,3,1,14
26,1,1,5,15
32,5,7,6,8
20,8,8,8,9
27,10,10,10,8
21,3,5,4,8
21,2,6,3,10
58,4,5,5,14
48,1,1,2,12
34,3,3,3,9
33,5,4,8,12
31,8,8,8,8
19,7,8,8,9
12,4,3,5,10
28,5,5,5,8
19,5,1,1,14
58,9,5,9,13
51,8,8,7,8
37,10,10,10,9
28,8,5,7,9
53,10,10,10,9
25,1,1,1,15
23,8,10,10,9
57,10,10,10,11
35,3,4,4,10
21,6,5,8,8
33,7,8,8,9
25,3,5,4,8
22,5,3,5,10
18,4,4,5,8
40,2,2,5,9
60,10,8,8,9
20,3,3,3,8
20,2,3,5,14
22,2,5,4,13
38,4,4,8,11
41,7,7,7,9
40,8,10,9,10
35,8,8,9,13
12,10,2,4,8
23,5,7,3,10
28,8,8,7,8
38,1,1,10,10
87,6,7,8,11
22,9,5,6,12
45,6,6,8,8
38,5,5,8,10
80,8,8,8,9
24,3,3,10,11
22,3,3,10,9
18,1,1,2,11
36,10,6,10,8
27,5,5,5,9
38,7,7,7,11
22,1,3,3,12
38,7,6,7,8
43,5,3,3,9
25,6,6,7,8
20,3,3,5,13
21,2,2,4,11
31,1,5,3,14
24,6,6,6,11
22,2,2,8,10
21,7,7,6,8
26,5,5,5,12
44,5,8,5,8
19,6,6,4,15
39,8,7,8,8
17,8,8,9,14
17,1,5,1,8
38,4,4,10,15
27,4,7,7,10
15,9,9,9,9
23,5,4,6,9
36,4,4,4,11
36,8,9,10,8
33,10,8,9,8
19,1,2,7,8
21,5,5,6,8
26,8,5,8,8
75,10,10,10,8
16,7,7,2,10
22,8,8,8,9
18,8,8,8,9
18,5,5,6,9
19,8,10,9,8
34,5,5,5,10
56,5,8,9,9
20,7,7,7,9
55,8,8,8,9
37,1,1,6,8
44,8,7,7,9
45,7,7,6,14
36,8,8,3,8
16,6,7,8,8
19,5,5,7,12
71,8,8,8,15
28,7,7,7,12
25,7,5,7,8
40,5,5,5,13
24,2,2,5,13
27,5,5,8,9
29,5,5,5,13
32,5,5,3,13
45,7,7,7,8
15,4,4,6,9
13,5,1,1,12
13,1,1,10,11
22,10,4,6,8
27,5,5,4,8
21,2,2,4,11
14,8,6,9,8
